epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,30.4184,2.45494,3.89329,1.44521,0.00563,0.53659,0.01436,0.00796,1.80922,3.89195,1.05483,0.0001429,0.0001429,0.0001429
2,52.163,1.99578,2.48752,1.16957,0.00907,0.69919,0.34867,0.22079,1.5588,3.5302,0.95463,0.000290187,0.000290187,0.000290187
3,72.771,1.65151,1.77361,1.04883,0.01423,0.66667,0.56749,0.38347,1.39604,3.06751,0.89256,0.0004271,0.0004271,0.0004271
4,93.169,1.40151,1.26579,0.98719,0.9967,0.33333,0.66352,0.45062,1.34196,2.52364,0.92668,0.000553637,0.000553637,0.000553637
5,114.387,1.17926,1.0489,0.94017,0.97918,0.35012,0.6779,0.50297,1.21476,2.25041,0.88563,0.000669801,0.000669801,0.000669801
6,136.411,1.12225,0.97431,0.9291,0.80359,0.71545,0.72166,0.57614,0.93597,1.56124,0.80029,0.00077559,0.00077559,0.00077559
7,158.677,1.08319,0.90431,0.90261,0.84648,0.71068,0.77527,0.50648,1.27565,1.389,0.86237,0.000871004,0.000871004,0.000871004
8,180.273,1.00044,0.82833,0.89122,0.95989,0.78191,0.8091,0.60412,0.92115,1.27764,0.79302,0.000956044,0.000956044,0.000956044
9,202.277,0.9753,0.79129,0.89707,0.98155,0.78097,0.83743,0.6132,0.90581,1.13985,0.79302,0.00103071,0.00103071,0.00103071
10,224.028,0.93511,0.74081,0.89347,0.98223,0.80006,0.84019,0.65964,0.83209,1.06598,0.76517,0.00100459,0.00100459,0.00100459
11,258.619,0.86695,0.68964,0.86169,0.95925,0.79569,0.84257,0.67291,0.76269,0.87013,0.76522,0.00095743,0.00095743,0.00095743
12,286.036,0.80244,0.66114,0.86119,0.98237,0.78862,0.82615,0.67292,0.69959,0.86713,0.76851,0.000910273,0.000910273,0.000910273
13,312.314,0.79034,0.64512,0.85596,0.98656,0.79615,0.8436,0.69801,0.65073,0.77882,0.76159,0.000863116,0.000863116,0.000863116
14,336.678,0.77089,0.63192,0.85588,0.97968,0.8374,0.86148,0.67973,0.6414,0.7244,0.73712,0.000815959,0.000815959,0.000815959
15,360.891,0.74682,0.61097,0.85085,0.97376,0.87237,0.89665,0.71337,0.60744,0.67328,0.74297,0.000768802,0.000768802,0.000768802
16,383.899,0.72351,0.59613,0.85292,0.98695,0.84429,0.88382,0.74422,0.58476,0.63843,0.74505,0.000721645,0.000721645,0.000721645
17,408.268,0.73534,0.59486,0.8494,0.98565,0.83573,0.87408,0.71892,0.62131,0.59724,0.74473,0.000674488,0.000674488,0.000674488
18,431.311,0.72673,0.57924,0.85469,0.9837,0.8374,0.86344,0.72067,0.56049,0.55766,0.73528,0.000627331,0.000627331,0.000627331
19,454.8,0.6898,0.55939,0.84174,0.97054,0.8384,0.86602,0.71064,0.52954,0.52465,0.73873,0.000580174,0.000580174,0.000580174
20,480.455,0.65448,0.54632,0.83769,0.95679,0.83898,0.87252,0.7383,0.56482,0.56524,0.7369,0.000533017,0.000533017,0.000533017
21,508.576,0.62796,0.59742,0.81581,0.96309,0.84553,0.89013,0.72712,0.57427,0.60707,0.73759,0.00048586,0.00048586,0.00048586
22,532.922,0.60077,0.57315,0.81375,0.98473,0.84535,0.896,0.72928,0.57916,0.65079,0.73402,0.000438703,0.000438703,0.000438703
23,560.792,0.59186,0.53346,0.82289,0.96665,0.8375,0.89831,0.75524,0.51435,0.51609,0.73131,0.000391546,0.000391546,0.000391546
24,585.27,0.5636,0.51627,0.81339,0.95955,0.87805,0.90876,0.75279,0.49853,0.50278,0.72987,0.000344389,0.000344389,0.000344389
25,609.301,0.56646,0.50435,0.81077,0.9622,0.87805,0.90818,0.7347,0.4965,0.51047,0.72676,0.000297232,0.000297232,0.000297232
26,631.488,0.52139,0.49059,0.80629,0.96031,0.87805,0.90556,0.72302,0.52913,0.52145,0.73201,0.000250075,0.000250075,0.000250075
27,653.905,0.52539,0.48401,0.81532,0.96177,0.87805,0.90686,0.74302,0.50742,0.47251,0.7313,0.000202918,0.000202918,0.000202918
28,677.342,0.5149,0.46579,0.80773,0.98407,0.87805,0.90762,0.7607,0.48974,0.45784,0.72936,0.000155761,0.000155761,0.000155761
29,700.013,0.50271,0.45665,0.80322,0.96137,0.88682,0.91265,0.7639,0.47809,0.45843,0.73134,0.000108604,0.000108604,0.000108604
30,722.941,0.49276,0.45275,0.80501,0.96169,0.88897,0.91346,0.76928,0.46196,0.44463,0.73091,6.1447e-05,6.1447e-05,6.1447e-05
