epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,932.836,1.90858,2.61171,1.757,1,0.08421,0.33273,0.19213,1.54079,3.44326,1.58489,0.000465256,0.000465256,0.000465256
2,1696.35,1.49513,1.55938,1.41251,0.99028,0.23161,0.67729,0.36846,1.51151,2.98717,1.44963,0.000932267,0.000932267,0.000932267
3,2460.33,1.4295,1.29841,1.37528,0.90446,0.82935,0.92475,0.56355,1.41778,1.52907,1.45236,0.00138985,0.00138985,0.00138985
4,3244.39,1.30723,1.14651,1.30765,0.87944,0.87692,0.93608,0.52257,1.52258,1.35086,1.5595,0.00138656,0.00138656,0.00138656
5,4030.5,1.28926,1.05832,1.29667,0.95467,0.90943,0.96023,0.63499,1.23036,1.01933,1.30514,0.00137241,0.00137241,0.00137241
6,4776,1.20936,0.95355,1.23205,0.97825,0.93196,0.96867,0.67224,1.17496,0.87605,1.29386,0.00135826,0.00135826,0.00135826
7,5608.35,1.20667,0.91177,1.25072,0.94758,0.93243,0.95574,0.52425,1.57099,0.98366,1.55717,0.00134412,0.00134412,0.00134412
8,6389.86,1.17981,0.85352,1.2294,0.97199,0.95331,0.97588,0.68048,1.09875,0.76123,1.23906,0.00132997,0.00132997,0.00132997
9,7219.97,1.1472,0.81311,1.21629,0.94805,0.93037,0.97205,0.65665,1.14309,0.79707,1.26304,0.00131582,0.00131582,0.00131582
10,8004.25,1.11185,0.77081,1.18906,0.96226,0.96662,0.98033,0.71967,1.03761,0.65996,1.21859,0.00130168,0.00130168,0.00130168
11,8823.87,1.09459,0.75037,1.19095,0.95919,0.95145,0.97979,0.68511,1.09506,0.69067,1.22965,0.00128753,0.00128753,0.00128753
12,9554.54,1.0701,0.70962,1.16065,0.97209,0.95977,0.98332,0.68528,1.14189,0.65845,1.28829,0.00127338,0.00127338,0.00127338
13,10336.8,1.04932,0.68513,1.15953,0.96448,0.9523,0.9793,0.686,1.15725,0.65409,1.24922,0.00125923,0.00125923,0.00125923
14,11124.5,1.02928,0.66948,1.14416,0.97774,0.9573,0.97686,0.67607,1.1528,0.6419,1.30219,0.00124509,0.00124509,0.00124509
15,11870.5,1.04875,0.65915,1.16215,0.98152,0.96789,0.98425,0.72757,0.99733,0.57126,1.18122,0.00123094,0.00123094,0.00123094
16,12704.6,1.00739,0.63858,1.13622,0.96078,0.97228,0.98583,0.73075,1.02206,0.57529,1.17692,0.00121679,0.00121679,0.00121679
17,13448.8,0.99023,0.61314,1.12766,0.99021,0.96402,0.98553,0.73018,0.96392,0.55571,1.14855,0.00120265,0.00120265,0.00120265
18,14203.4,1.01181,0.61221,1.12293,0.98791,0.97045,0.9844,0.73439,0.94975,0.56149,1.14798,0.0011885,0.0011885,0.0011885
19,14941.5,0.96063,0.59797,1.11255,0.98797,0.9761,0.98791,0.73901,0.97648,0.56255,1.17891,0.00117435,0.00117435,0.00117435
20,15744.2,0.94023,0.57767,1.10947,0.98061,0.96178,0.98608,0.75184,0.93203,0.53284,1.15198,0.00116021,0.00116021,0.00116021
21,16551.6,0.94292,0.57081,1.10001,0.98613,0.96552,0.98255,0.73692,0.97064,0.5296,1.16143,0.00114606,0.00114606,0.00114606
22,17793,0.94116,0.57499,1.09675,0.98432,0.96869,0.98828,0.72803,1.03403,0.51658,1.22614,0.00113191,0.00113191,0.00113191
23,18923.6,0.90577,0.5445,1.08723,0.98287,0.95937,0.98598,0.75978,0.90653,0.49046,1.11639,0.00111776,0.00111776,0.00111776
24,20088.8,0.90505,0.54552,1.08419,0.98612,0.97303,0.98374,0.7558,0.90418,0.49136,1.11923,0.00110362,0.00110362,0.00110362
25,21029.8,0.89445,0.52733,1.08108,0.98216,0.96715,0.9848,0.75151,0.94425,0.50767,1.13611,0.00108947,0.00108947,0.00108947
26,21965.3,0.89403,0.52884,1.07272,0.98256,0.97532,0.98193,0.75102,0.92969,0.47603,1.12157,0.00107532,0.00107532,0.00107532
27,22795.3,0.89613,0.52193,1.07363,0.99068,0.96931,0.98616,0.75529,0.93493,0.47247,1.13592,0.00106118,0.00106118,0.00106118
28,23530.4,0.86015,0.50632,1.05629,0.98704,0.97161,0.98762,0.76363,0.89325,0.46844,1.09823,0.00104703,0.00104703,0.00104703
29,24374.6,0.87885,0.51053,1.07027,0.98472,0.97335,0.98609,0.75266,0.94232,0.46376,1.16497,0.00103288,0.00103288,0.00103288
30,25150.5,0.883,0.52192,1.07808,0.98604,0.97765,0.98646,0.75792,0.90842,0.45359,1.10926,0.00101873,0.00101873,0.00101873
31,25931.7,0.86729,0.51308,1.07499,0.9835,0.97138,0.98562,0.75899,0.91313,0.4802,1.12409,0.00100459,0.00100459,0.00100459
32,26758.3,0.84537,0.49244,1.05869,0.98376,0.97413,0.98805,0.75946,0.91596,0.44836,1.12617,0.00099044,0.00099044,0.00099044
33,27592.9,0.84635,0.49255,1.05745,0.98439,0.96675,0.98877,0.77488,0.90157,0.44659,1.12313,0.000976293,0.000976293,0.000976293
34,28425.6,0.83912,0.4838,1.05004,0.98926,0.96479,0.98735,0.77003,0.90312,0.44704,1.11402,0.000962146,0.000962146,0.000962146
35,29179.4,0.82308,0.47662,1.04779,0.99213,0.97239,0.98983,0.79195,0.85414,0.42239,1.09614,0.000947999,0.000947999,0.000947999
36,29967.9,0.8417,0.47068,1.03902,0.9915,0.96991,0.98801,0.77751,0.88928,0.43571,1.09976,0.000933851,0.000933851,0.000933851
37,30788.7,0.80595,0.46296,1.02577,0.98384,0.97785,0.98946,0.77053,0.91351,0.43242,1.13042,0.000919704,0.000919704,0.000919704
38,31654.7,0.80176,0.45581,1.03498,0.98968,0.98345,0.99035,0.78252,0.85205,0.41558,1.0974,0.000905557,0.000905557,0.000905557
39,32525.5,0.80175,0.45508,1.03396,0.98496,0.9774,0.9899,0.78337,0.85327,0.41392,1.09747,0.00089141,0.00089141,0.00089141
40,33364.3,0.78792,0.45207,1.02917,0.99171,0.97357,0.98933,0.78915,0.83427,0.40264,1.08513,0.000877263,0.000877263,0.000877263
41,34281.4,0.7825,0.44932,1.03218,0.99056,0.97023,0.98638,0.78964,0.82911,0.41715,1.09182,0.000863116,0.000863116,0.000863116
42,35139,0.78071,0.4495,1.02226,0.99068,0.98142,0.98829,0.78794,0.84804,0.40506,1.09639,0.000848969,0.000848969,0.000848969
43,36059.5,0.76501,0.4382,1.01368,0.992,0.98415,0.98834,0.78922,0.86008,0.3995,1.08409,0.000834822,0.000834822,0.000834822
44,36935.7,0.77212,0.44362,1.01808,0.99229,0.98024,0.98902,0.79319,0.8325,0.39546,1.08261,0.000820675,0.000820675,0.000820675
45,37715.9,0.76044,0.43541,1.01831,0.98802,0.9821,0.9903,0.8005,0.81549,0.39347,1.07381,0.000806528,0.000806528,0.000806528
46,38464.5,0.73873,0.42388,1.00193,0.98951,0.97748,0.98878,0.80196,0.8356,0.40409,1.08693,0.00079238,0.00079238,0.00079238
47,39301.4,0.74753,0.42678,1.0084,0.99219,0.96847,0.98867,0.81094,0.7936,0.38113,1.05543,0.000778233,0.000778233,0.000778233
48,40055.3,0.74476,0.43345,1.01067,0.98222,0.98117,0.98914,0.79928,0.82397,0.39062,1.08093,0.000764086,0.000764086,0.000764086
49,40848.8,0.74577,0.42798,1.01097,0.99131,0.97537,0.98843,0.80291,0.8139,0.3874,1.06635,0.000749939,0.000749939,0.000749939
50,41549.6,0.7419,0.42558,1.00497,0.98914,0.97927,0.98941,0.8095,0.80324,0.38119,1.07168,0.000735792,0.000735792,0.000735792
51,42250.2,0.72432,0.41525,1.00032,0.98523,0.97606,0.98835,0.80495,0.79932,0.38236,1.06998,0.000721645,0.000721645,0.000721645
52,43016.8,0.71767,0.40682,0.99776,0.98991,0.97135,0.98921,0.80837,0.8164,0.3855,1.07673,0.000707498,0.000707498,0.000707498
53,43745.3,0.72427,0.40734,1.00373,0.98552,0.9823,0.98716,0.80311,0.82661,0.39106,1.07605,0.000693351,0.000693351,0.000693351
54,44520.9,0.69689,0.39917,0.99143,0.98611,0.98469,0.98978,0.80073,0.82885,0.39272,1.07941,0.000679204,0.000679204,0.000679204
55,45249.9,0.69969,0.39861,0.99575,0.99449,0.97619,0.99004,0.80453,0.80575,0.38162,1.0638,0.000665057,0.000665057,0.000665057
56,45971,0.71948,0.40412,0.98114,0.99195,0.9766,0.99225,0.8159,0.76743,0.37034,1.05679,0.000650909,0.000650909,0.000650909
57,46682.8,0.68289,0.38967,0.98055,0.99077,0.98148,0.99153,0.81666,0.78242,0.36374,1.06885,0.000636762,0.000636762,0.000636762
58,47391.8,0.6949,0.39393,0.99477,0.99371,0.97344,0.98921,0.81731,0.78613,0.36895,1.06561,0.000622615,0.000622615,0.000622615
59,48102.3,0.67952,0.39124,0.97354,0.98984,0.97268,0.99066,0.81576,0.76209,0.36454,1.05863,0.000608468,0.000608468,0.000608468
60,48876.6,0.66917,0.38414,0.97254,0.98311,0.98125,0.99115,0.82224,0.7718,0.36781,1.06107,0.000594321,0.000594321,0.000594321
61,49600.8,0.65799,0.38006,0.96618,0.988,0.98016,0.99091,0.82734,0.77255,0.35906,1.05881,0.000580174,0.000580174,0.000580174
62,50364,0.6643,0.37915,0.98049,0.99274,0.98115,0.99158,0.81826,0.77236,0.36393,1.06428,0.000566027,0.000566027,0.000566027
63,51073.4,0.67021,0.37291,0.97225,0.9926,0.97773,0.99216,0.82237,0.75668,0.36039,1.05946,0.00055188,0.00055188,0.00055188
64,51852.2,0.66114,0.37223,0.97378,0.99373,0.97857,0.99104,0.81795,0.77128,0.36276,1.06316,0.000537733,0.000537733,0.000537733
65,52593.8,0.66694,0.37694,0.9743,0.9944,0.97972,0.9896,0.81993,0.76145,0.35343,1.05024,0.000523586,0.000523586,0.000523586
